Task,Car,Buffer_mean,Buffer_SD,Buffer_min,Mean_off_road_glance_duration,Max_off_road_glance_duration
Manual phone dialing,2013 Volvo XC60,0.985348491,0.605950326,0.03,0.969810118,2.0475
Manual phone dialing,2012 Chevrolet Equinox,0.941380214,0.571938874,0.095,0.960048277,1.8925
Manual phone dialing,All,0.963364352,0.5889446,0.0625,0.964929197,1.97
Manual radio preset,2010 Lincoln MKS B,1.48238244,0.406210678,0.665625,0.866941594,1.2609375
Manual radio preset,2010 Lincoln MKS B (expert),1.475582093,0.439189028,0.596875,0.918015873,1.3375
Manual radio preset,2010 Lincoln MKS A,1.38747953,0.46056379,0.490566038,1.02067135,1.571698113
Manual radio preset,All,1.439392233,0.430832173,0.586324786,0.93657986,1.401709402
Manual radio tuning,2013 Volvo XC60,0.818878763,0.595406431,0.03,1.01248615,2.0725
Manual radio tuning,2010 Lincoln MKS B,0.772387877,0.561128876,0.0359375,1.055539012,2.1078125
Manual radio tuning,2010 Lincoln MKS B (expert),0.660749819,0.580339845,0,1.048461857,2.034375
Manual radio tuning,2010 Lincoln MKS A,0.804477266,0.610740489,0.011320755,1.01859841,2.320754717
Manual radio tuning,2014 Chevrolet Impala,0.993766831,0.522182177,0.090384615,0.890755566,1.640384615
Manual radio tuning,2012 Chevrolet Equinox,0.84944526,0.627817187,0.0325,0.989480959,2.2
Manual radio tuning,2015 Toyota corolla,0.827820038,0.518114136,0.065306122,0.968468904,1.804081633
Manual radio tuning,2014 Mercedes CLA,1.149059079,0.506611174,0.162264151,0.83743076,1.664150943
Manual radio tuning,All,0.888724411,0.560119364,0.062393162,0.968025621,1.967806268
POI,2014 Chevrolet Impala,1.592182924,0.546091296,0.088679245,0.818374128,1.933962264
POI,2015 Toyota corolla,1.779976556,0.37730395,0.232653061,0.784081318,1.695918367
POI,2014 Mercedes CLA,1.443250759,0.566755271,0.033962264,0.870278447,2.205660377
POI,All,1.600624751,0.499798462,0.115483871,0.825281104,1.951612903
Voice address entry,2013 Volvo XC60,1.519858331,0.533052863,0.04,0.87729963,1.9575
Voice address entry,2010 Lincoln MKS B,1.582280364,0.490941874,0.1234375,0.879341407,2.1265625
Voice address entry,2010 Lincoln MKS B (expert),1.515741461,0.509282418,0.084375,0.890252268,2.125
Voice address entry,2010 Lincoln MKS A,1.575143026,0.513374019,0.094339623,0.867888959,2.101886792
Voice address entry,2014 Chevrolet Impala,1.634806907,0.514517947,0.075471698,0.806388498,1.88490566
Voice address entry,2012 Chevrolet Equinox,1.689955542,0.457431309,0.17,0.797994702,1.77
Voice address entry,2015 Toyota corolla,1.788361336,0.381535736,0.23877551,0.781692493,1.628571429
Voice address entry,2014 Mercedes CLA,1.639109967,0.469409955,0.181132075,0.799851099,2.21509434
Voice address entry,All,1.631501075,0.480374715,0.132386364,0.831594798,1.970738636
Voice navigation cancel,2013 Volvo XC60,1.52108934,0.449625805,0.415,0.809031872,1.58
Voice navigation cancel,2010 Lincoln MKS B,1.534214154,0.476371277,0.3328125,0.861636781,1.6890625
Voice navigation cancel,2010 Lincoln MKS B (expert),1.471051993,0.480702892,0.28125,0.874539755,1.753125
Voice navigation cancel,2010 Lincoln MKS A,1.737805378,0.348118811,0.664150943,0.833124792,1.447169811
Voice navigation cancel,2014 Chevrolet Impala,1.758522897,0.327500899,0.709433962,0.676670533,1.128301887
Voice navigation cancel,2012 Chevrolet Equinox,1.830965929,0.291192397,0.64,0.68283097,1.24
Voice navigation cancel,2015 Toyota corolla,1.85269037,0.225292268,1.0625,0.585032282,0.8625
Voice navigation cancel,2014 Mercedes CLA,1.723316164,0.342422395,0.681132075,0.674090368,1.156603774
Voice navigation cancel,All,1.703254159,0.355814103,0.636467236,0.736885353,1.310826211
Voice phone dialing,2013 Volvo XC60,1.640608664,0.439048982,0.28,0.806325602,1.6175
Voice phone dialing,2014 Chevrolet Impala,1.826044127,0.266480818,0.790566038,0.641019952,1.160377358
Voice phone dialing,2012 Chevrolet Equinox,1.846773724,0.260331003,0.843589744,0.644539708,1.092307692
Voice phone dialing,2015 Toyota corolla,1.874160223,0.228706337,0.914583333,0.64887621,1.0125
Voice phone dialing,2014 Mercedes CLA,1.779473742,0.337499529,0.562264151,0.688647247,1.320754717
Voice phone dialing,All,1.796998539,0.303449489,0.685407725,0.682439881,1.233476395
Voice radio preset,2010 Lincoln MKS B,1.678871587,0.364813078,0.6234375,0.769356427,1.3109375
Voice radio preset,2010 Lincoln MKS B (expert),1.496911703,0.426893451,0.415625,0.830147442,1.390625
Voice radio preset,2010 Lincoln MKS A,1.675064463,0.396758222,0.501886792,0.822270481,1.524528302
Voice radio preset,All,1.677146993,0.379283955,0.568376068,0.793326041,1.407692308
Voice radio tuning,2010 Lincoln MKS B,1.785413598,0.309791562,0.73125,0.738814848,1.225
Voice radio tuning,2010 Lincoln MKS B (expert),1.707319951,0.336454397,0.7125,0.795060377,1.26875
Voice radio tuning,2010 Lincoln MKS A,1.741922702,0.378191556,0.39245283,0.814508048,1.979245283
Voice radio tuning,All,1.765712594,0.340776175,0.577777778,0.77310322,1.566666667
Baseline,2013 Volvo XC60,1.874191877,0.29389531,0.0775,0.733040072,2.075
Baseline,2010 Lincoln MKS A,1.874597106,0.294088345,0.133962264,0.763013652,2.458490566
Baseline,2012 Chevrolet Equinox,1.879948923,0.286773926,0.08,0.697114084,2.27
Baseline,All,1.876084801,0.291830464,0.10075188,0.734179623,2.286466165
