"","new_subject","task","car","mean_off_duration","sum_long_off_glance","total_off_time","frequency_off_glance","task_time","percentage_long_off_glance","frequency_off_glance_per_minute"
"1",1001,"nav_cancel_1","MKS",0.919615384615385,0,23.91,26,60.35,0,25.8492129246065
"2",1001,"nav_cancel_2","MKS",0.7575,0,6.06,8,20.18,0,23.7859266600595
"3",1001,"nav_entry_1","MKS",1.01794871794872,0,39.7,39,88.72,0,26.3751127141569
"4",1001,"nav_entry_2","MKS",0.877666666666667,1,39.495,45,99.015,2.22222222222222,27.2685956673231
"5",1001,"radiom_4","MKS",1.11388888888889,1,10.025,9,18.335,11.1111111111111,29.4518680119989
"6",1001,"radiom_6","MKS",0.929444444444444,0,8.365,9,13.345,0,40.4645934807044
"7",1002,"nav_cancel_1","MKS",1.11605263157895,2,42.41,38,85.3,5.26315789473684,26.7291910902696
"8",1002,"nav_cancel_2","MKS",0.875,1,26.25,30,60.9,3.33333333333333,29.5566502463054
"9",1002,"nav_entry_1","MKS",1.00350877192982,2,57.2,57,111.35,3.50877192982456,30.7139649753031
"10",1002,"nav_entry_2","MKS",0.862758620689655,0,50.04,58,122.34,0,28.4453163315351
"11",1002,"radiom_4","MKS",1.23625,0,14.835,12,20.12,0,35.7852882703777
"12",1002,"radiom_6","MKS",0.936428571428571,0,13.11,14,21.13,0,39.7539044013251
"13",1003,"nav_cancel_1","MKS",0.5796,0,14.49,25,54.51,0,27.5178866263071
"14",1003,"nav_cancel_2","MKS",0.735,0,0.735,1,18.125,0,3.31034482758621
"15",1003,"nav_entry_1","MKS",0.685,0,24.66,36,81.9,0,26.3736263736264
"16",1003,"nav_entry_2","MKS",0.690377358490566,0,36.59,53,126.29,0,25.180140945443
"17",1003,"radiom_4","MKS",0.783636363636364,0,8.62,11,18.725,0,35.2469959946595
"18",1003,"radiom_6","MKS",0.713666666666667,0,10.705,15,22.105,0,40.7147704139335
"19",1004,"nav_cancel_1","MKS",0.81575,0,65.26,80,153.53,0,31.264248029701
"20",1004,"nav_cancel_2","MKS",0.485,0,0.485,1,18.925,0,3.17040951122853
"21",1004,"nav_entry_1","MKS",0.789111111111111,0,35.51,45,137.9,0,19.5794053662074
"22",1004,"nav_entry_2","MKS",0.6875,0,8.25,12,81.93,0,8.78798974734529
"23",1004,"radiom_4","MKS",0.9175,0,9.175,10,15.12,0,39.6825396825397
"24",1004,"radiom_6","MKS",0.963333333333333,1,8.67,9,15.93,11.1111111111111,33.8983050847458
"25",1006,"nav_cancel_2","MKS",0.55,0,4.4,8,25.13,0,19.1006764822921
"26",1006,"radiom_4","MKS",0.7696875,0,12.315,16,23.105,0,41.5494481713915
"27",1008,"nav_cancel_2","MKS",0.704,0,3.52,5,34.9,0,8.59598853868195
"28",1008,"nav_entry_1","MKS",0.528666666666667,0,7.93,15,81.3,0,11.070110701107
"29",1008,"nav_entry_2","MKS",0.5771875,0,18.47,32,95.56,0,20.0920887400586
"30",1008,"radiom_4","MKS",0.403,0,4.03,10,18.31,0,32.7689787001638
"31",1008,"radiom_6","MKS",0.475,0,3.8,8,14.15,0,33.9222614840989
"32",1009,"radiom_4","MKS",0.826538461538462,0,10.745,13,27.105,0,28.7769784172662
"33",1011,"nav_cancel_1","MKS",0.473,0,2.365,5,18.52,0,16.1987041036717
"34",1011,"nav_cancel_2","MKS",0.6025,0,2.41,4,18.95,0,12.664907651715
"35",1011,"nav_entry_2","MKS",0.879545454545455,2,38.7,44,113.71,4.54545454545455,23.2169554128924
"36",1011,"radiom_6","MKS",0.954375,0,7.635,8,13.735,0,34.9472151437932
"37",1012,"nav_cancel_1","MKS",1.365,5,35.49,26,50.12,19.2307692307692,31.1252992817239
"38",1012,"nav_entry_1","MKS",1.20253731343284,11,80.57,67,138.55,16.4179104477612,29.0147961024901
"39",1012,"nav_entry_2","MKS",0.823207547169811,2,43.63,53,101.26,3.77358490566038,31.4043057475805
"40",1012,"radiom_4","MKS",1.81666666666667,1,10.9,6,14.14,16.6666666666667,25.4596888260255
"41",1012,"radiom_6","MKS",1.77111111111111,3,15.94,9,21.95,33.3333333333333,24.6013667425968
"42",1013,"nav_cancel_1","MKS",0.8028125,0,12.845,16,47.615,0,20.1617137456684
"43",1013,"nav_cancel_2","MKS",0.788333333333333,0,4.73,6,28.32,0,12.7118644067797
"44",1013,"nav_entry_1","MKS",0.808787878787879,0,26.69,33,109.9,0,18.0163785259327
